,1-CO2,2-COOH,3-CO,4-CHO,5-CH2O,6-OCH3,7-O,8-OH,11-H
3-Al,-0.5632,-3.1246,-0.4258,-5.1506,-3.0403,-4.8243,-6.397,-4.9592,-3.119
4-Co,-0.8858,-2.5231,-2.1523,-6.3572,-4.2945,-3.7495,-4.5902,-3.7808,-2.3116
4-Cr,-0.1885,-2.2445,-0.5748,-4.5096,-3.5383,-3.3612,-6.5272,-3.3289,-2.0167
4-Cu,-1.9932,-3.9399,-3.2662,-5.9776,-5.2112,-4.5795,-4.3041,-4.6414,-3.2497
4-Fe,-2.1046,-3.7797,-3.2683,-6.2684,-5.4124,-5.0597,-5.4707,-5.0069,-3.1776
4-Ga,-0.0515,-1.2729,-0.0579,-3.5099,-2.6977,-2.6109,-4.1141,-2.5697,-1.473
4-Ge,-0.072,-2.476,-0.0707,-4.5641,-2.9096,-3.823,-5.7226,-3.9647,-2.5419
4-Mn,-1.7964,-3.4125,-2.0608,-5.8165,-5.202,-4.9197,-5.9935,-4.8023,-3.2313
4-Ni,-0.2052,-2.0553,-1.7061,-4.5773,-3.3441,-2.6187,-4.203,-2.5803,-1.7004
4-Sc,-2.3223,-4.4746,-2.6524,-6.6438,-5.7091,-6.376,-7.2651,-6.2493,-4.1383
4-Ti,-2.4445,-4.1832,-3.0159,-6.655,-6.1177,-5.7154,-8.3641,-5.5658,-3.8751
4-V,-1.5008,-3.6459,-2.6966,-6.0794,-5.5117,-5.1149,-7.7734,-4.9304,-3.6343
4-Zn,-2.1306,-4.7072,-2.3845,-6.7853,-4.6963,-5.2297,-6.0634,-5.3855,-4.6969
5-Ag,-1.9375,-3.4548,-2.4182,-5.5337,-4.6088,-3.7306,-4.1333,-3.8745,-3.4375
5-Cd,-2.0686,-3.8012,-1.9727,-5.9874,-4.6782,-4.3088,-6.7681,-4.6283,-3.5856
5-In,-0.0444,-0.9573,-0.0682,-3.1608,-2.636,-2.2134,-3.2624,-2.3561,-0.9089
5-Mo,-2.1793,-4.1921,-3.9532,-6.7781,-5.7416,-4.6316,-7.0061,-4.494,-4.1001
5-Nb,-2.4082,-4.1772,-3.3872,-6.4657,-6.1045,-5.3057,-8.1927,-4.8954,-3.6774
5-Pd,-0.2202,-2.6284,-1.7414,-5.2182,-3.0227,-2.7076,-2.5865,-2.5123,-1.2816
5-Rh,-2.3534,-4.3775,-4.0446,-7.1746,-5.0303,-4.9956,-6.663,-4.8032,-4.0648
5-Ru,-0.6563,-3.3756,-2.033,-5.8938,-3.5355,-3.1044,-5.0482,-3.0199,-3.048
5-Sb,-1.4369,-3.5894,-1.5576,-5.9635,-4.41,-4.6208,-6.6229,-4.7337,-3.7827
5-Sn,-0.0516,-2.0424,-0.0685,-4.0607,-2.6963,-3.3452,-5.0605,-3.4873,-2.074
5-Tc,-2.2678,-4.9252,-4.4716,-7.3676,-5.9703,-5.0677,-8.0194,-4.9662,-4.2355
5-Y,-2.2032,-4.4703,-2.4854,-6.5641,-5.5814,-6.3044,-7.098,-5.9941,-3.8494
5-Zr,-2.7108,-4.4672,-2.8936,-6.9576,-6.4624,-6.0921,-9.4257,-5.9282,-3.8877
6-Au,-0.1314,-3.3543,-1.6843,-5.4694,-2.9622,-3.3742,-3.2576,-3.5096,-3.3652
6-Bi,-1.5622,-3.5149,-1.6241,-5.8049,-4.4556,-4.4456,-6.1567,-4.4668,-3.725
6-Hf,-2.9269,-4.6401,-3.0007,-7.131,-6.6651,-6.5759,-8.4981,-6.2145,-4.1109
6-Hg,-4.1858,-4.8542,-4.0914,-6.7326,-6.6731,-4.8089,-6.0903,-4.7088,-5.219
6-Ir,-0.4179,-2.5462,-1.6292,-5.1419,-3.2016,-2.0891,-4.9738,-2.0254,-2.4421
6-Os,-0.7143,-3.3264,-2.1199,-5.8989,-3.3894,-3.0034,-5.3029,-2.9596,-3.0442
6-Pb,-0.0955,-1.8002,-0.0881,-3.7912,-2.6592,-2.7314,-4.2125,-2.8466,-1.7722
6-Pt,-0.2,-2.7072,-3.0413,-5.379,-3.5735,-3.0146,-5.1321,-3.1423,-2.3723
6-Re,-2.2981,-4.7769,-4.4625,-7.245,-5.8559,-4.9296,-7.0821,-4.9005,-4.5068
6-Ta,-2.8291,-4.4086,-3.5634,-6.7463,-6.5542,-5.5227,-9.3067,-5.223,-3.0951
6-Tl,-0.0344,-0.8826,-0.0548,-2.8023,-2.7435,-1.9958,-2.1062,-2.0751,-0.5291
6-W,-2.5911,-4.565,-4.2377,-7.0238,-6.1534,-5.0384,-7.937,-4.7169,-4.2657
